"""Bodysnatchers""",Radiohead,2007,Drop D - Lead/Rhythm; E Standard - Bass,Rock Hits 1,N/A,,"September 28, 2012"
"""Tighten Up""",The Black Keys,2010,E Standard,Rock Hits 1,N/A,,"January 8, 2013"
"""Free Bird""",Lynyrd Skynyrd,1973,E Standard,Rock Hits 1,Classic Rock Pack,"November 1, 2011","October 17, 2012"
"""Smoke on the Water""",Deep Purple,1973,E Standard,Rock Hits 70s,Classic Rock Pack,"November 15, 2011","October 17, 2012"
"""More than a Feeling""",Boston,1976,E Standard,Rock Hits 70s,Classic Rock Pack,"November 15, 2011","October 17, 2012"
"""Jessica""",The Allman Brothers Band,1973,E Standard,The Allman Brothers Band 3-Song Pack,The Allman Brothers Band 3-Song Pack,"November 15, 2011","November 27, 2012"
"""Cousins""",Vampire Weekend,2010,E Standard - Lead/Rhythm/Bass; Capo Required - Alt. Bass,Rock Hits 2,Alternative Rock,"November 29, 2011","November 13, 2012"
"""20th Century Boy""",T. Rex,1973,E Standard: A443,Rock Hits 2,N/A,"November 29, 2011","September 28, 2012"
"""I Hate Everything About You""",Three Days Grace,2004,Drop D,Rock Hits 2,Metal Rock Pack,"November 29, 2011","December 11, 2012"
"""Symphony of Destruction""",Megadeth,1992,E Standard,Megadeth 3-Song Pack,Megadeth 3-Song Pack,"December 13, 2011","September 28, 2012"
"""Hangar 18""",Megadeth,1990,E Standard - Lead/Alt. Lead/Rhythm; Drop D - Bass,Megadeth 3-Song Pack,Megadeth 3-Song Pack,"December 13, 2011","September 28, 2012"
"""Public Enemy No. 1""",Megadeth,2011,E Standard - Lead/Rhythm; Drop D - Bass,Megadeth 3-Song Pack,Megadeth 3-Song Pack,"December 13, 2011","December 11, 2012"
"""Carol of the Bells""",Seth Chapla,2011,E Standard,Holiday 3-Song Pack,Holiday 3-Song Pack,"December 20, 2011","December 18, 2012"
"""God Rest Ye Merry, Gentlemen""",Brian Adam McCune,2011,E Standard,Holiday 3-Song Pack,Holiday 3-Song Pack,"December 20, 2011","December 18, 2012"
"""We Three Kings""",Versus Them,2011,E Standard,Holiday 3-Song Pack,Holiday 3-Song Pack,"December 20, 2011","December 18, 2012"
"""Mind Eraser""",The Black Keys,2011,E Standard,The Black Keys 3-Song Pack,The Black Keys 3-Song Pack,"December 27, 2011","November 27, 2012"
"""Gold on the Ceiling""",The Black Keys,2011,Drop D - Lead; E Standard - Bass,The Black Keys 3-Song Pack,The Black Keys 3-Song Pack,"December 27, 2011","November 27, 2012"
"""Just Got to Be""",The Black Keys,2006,E Standard - Lead; Capo Required - Rhythm,The Black Keys 3-Song Pack,The Black Keys 3-Song Pack,"December 27, 2011","November 27, 2012"
"""(Don't Fear) The Reaper""",Blue Öyster Cult,1976,E Standard,Blue Öyster Cult 3-Song Pack,Blue Öyster Cult 3-Song Pack,"January 17, 2012","October 17, 2012"
"""Space Oddity""",David Bowie,1969,E Standard,Rock Hits 60s-70s,N/A,"January 17, 2012","November 27, 2012"
"""Barracuda""",Heart,1977,E Standard,Rock Hits 60s-70s,Classic Rock Pack,"January 17, 2012","October 17, 2012"
"""Jeremy""",Pearl Jam,1991,E Standard,Pearl Jam 3-Song Pack,Pearl Jam 3-Song Pack,"February 7, 2012","November 27, 2012"
"""Black""",Pearl Jam,1991,E Standard,Pearl Jam 3-Song Pack,Pearl Jam 3-Song Pack,"February 7, 2012","December 18, 2012"
"""Dammit""",Blink-182,1997,E Standard,Blink-182 3-Song Pack,Blink-182 3-Song Pack,"February 21, 2012","September 28, 2012"
"""All The Small Things""",Blink-182,2000,E Standard,Blink-182 3-Song Pack,Blink-182 3-Song Pack,"February 21, 2012","September 28, 2012"
"""What's My Age Again?""",Blink-182,1999,E Standard,Blink-182 3-Song Pack,Blink-182 3-Song Pack,"February 21, 2012","September 28, 2012"
"""Kryptonite""",3 Doors Down,2000,E Standard,3 Doors Down 3-Song Pack,N/A,"March 6, 2012","September 28, 2012"
"""Loser""",3 Doors Down,2000,E Standard,3 Doors Down 3-Song Pack,Alternative Pack,"March 6, 2012","November 27, 2012"
"""When I'm Gone""",3 Doors Down,2002,E Standard,3 Doors Down 3-Song Pack,Alternative Pack,"March 6, 2012","November 27, 2012"
"""The Thrill is Gone""",B.B. King,1969,E Standard,Blues Hits,N/A,"March 20, 2012","September 28, 2012"
"""Born Under a Bad Sign""",Albert King with Stevie Ray Vaughan,1983,E Standard,Blues Hits,N/A,"March 20, 2012","October 17, 2012"
"""Soul Man""",The Blues Brothers,1978,E Standard,Blues Hits,Classic Rock Pack,"March 20, 2012","October 17, 2012"
"""Bring Me to Life""",Evanescence,2003,E Standard,Rock Hits 3,Metal Rock Pack,"April 3, 2012","December 11, 2012"
"""Pumped Up Kicks""",Foster the People,2011,E Standard - Lead/Rhythm/Bass; Capo Required - Alt. Lead,Rock Hits 3,N/A,"April 3, 2012","September 28, 2012"
"""This Love""",Maroon 5,2002,E Standard,Rock Hits 3,N/A,"April 3, 2012","October 17, 2012"
"""Breaking the Law""",Judas Priest,1980,E Standard,Judas Priest 3-Song Pack,Judas Priest 3-Song Pack,"April 17, 2012","December 11, 2012"
"""Living After Midnight""",Judas Priest,1980,E Standard,Judas Priest 3-Song Pack,Judas Priest 3-Song Pack,"April 17, 2012","December 11, 2012"
"""Painkiller""",Judas Priest,1990,E Standard,Judas Priest 3-Song Pack,Judas Priest 3-Song Pack,"April 17, 2012","December 11, 2012"
"""Roxanne""",The Police,1978,E Standard,The Police 3-Song Pack,The Police 3-Song Pack,"May 1, 2012","October 17, 2012"
"""Message in a Bottle""",The Police,1979,E Standard,The Police 3-Song Pack,The Police 3-Song Pack,"May 1, 2012","October 17, 2012"
"""Synchronicity II""",The Police,1983,E Standard,The Police 3-Song Pack,The Police 3-Song Pack,"May 1, 2012","October 17, 2012"
"""Gone Away""",The Offspring,1997,E Standard,The Offspring 3-Song Pack,The Offspring 3-Song Pack,"May 15, 2012","November 27, 2012"
"""Come Out and Play (Keep 'Em Separated)""",The Offspring,1994,E Standard,The Offspring 3-Song Pack,The Offspring 3-Song Pack,"May 15, 2012","November 27, 2012"
"""Self Esteem""",The Offspring,1994,E Standard,The Offspring 3-Song Pack,The Offspring 3-Song Pack,"May 15, 2012","November 27, 2012"
"""Planetary (GO!)""",My Chemical Romance,2011,E Standard,My Chemical Romance 3-Song Pack,My Chemical Romance 3-Song Pack,"May 29, 2012","October 17, 2012"
"""Welcome to the Black Parade""",My Chemical Romance,2006,E Standard,My Chemical Romance 3-Song Pack,My Chemical Romance 3-Song Pack,"May 29, 2012","October 17, 2012"
"""Na Na Na (Na Na Na Na Na Na Na Na Na)""",My Chemical Romance,2010,E Standard,My Chemical Romance 3-Song Pack,My Chemical Romance 3-Song Pack,"May 29, 2012","October 17, 2012"
"""Keep Yourself Alive""",Queen,1973,E Standard,Queen 5-Song Pack,Queen 5-Song Pack,"June 12, 2012","October 17, 2012"
"""Bohemian Rhapsody""",Queen,1975,E Standard,Queen 5-Song Pack,Queen 5-Song Pack,"June 12, 2012","October 17, 2012"
"""Fat Bottomed Girls""",Queen,1978,Drop D - Lead/Bass; Drop D: A445 - Alt. Lead,Queen 5-Song Pack,Queen 5-Song Pack,"June 12, 2012","October 17, 2012"
"""Killer Queen""",Queen,1974,E Standard,Queen 5-Song Pack,Queen 5-Song Pack,"June 12, 2012","October 17, 2012"
"""Stone Cold Crazy""",Queen,1974,E Standard,Queen 5-Song Pack,Queen 5-Song Pack,"June 12, 2012","October 17, 2012"
"""Godzilla""",Blue Öyster Cult,1977,E Standard,Blue Öyster Cult 3-Song Pack,Blue Öyster Cult 3-Song Pack,"June 26, 2012","October 17, 2012"
"""My Sharona""",The Knack,1979,E Standard,Rock Hits 4,N/A,"June 26, 2012","October 17, 2012"
"""Hit Me with Your Best Shot""",Pat Benatar,1980,E Standard,Rock Hits 4,N/A,"June 26, 2012","September 28, 2012"
"""Redneck""",Lamb of God,2006,Drop D,Rock Hits 5,2000 Rock Hits 01,"July 10, 2012","December 11, 2012"
"""I Believe in a Thing Called Love""",The Darkness,2003,E Standard,Rock Hits 5,2000 Rock Hits 01,"July 10, 2012","October 17, 2012"
"""Paralyzer""",Finger Eleven,2006,E Standard,Rock Hits 5,2000 Rock Hits 01,"July 10, 2012","October 17, 2012"
"""My Girl""",The Temptations,1964,E Standard,Soul Hits,N/A,"July 24, 2012","October 17, 2012"
"""(Sittin' On) The Dock of the Bay""",Otis Redding,1967,E Standard,Soul Hits,Classic Rock Pack,"July 24, 2012","October 17, 2012"
"""What's Going On""",Marvin Gaye,1971,E Standard,Soul Hits,N/A,"July 24, 2012","October 17, 2012"
"""Born on the Bayou""",Creedence Clearwater Revival,1969,E Standard,Rock Hits 60s,N/A,"August 21, 2012","December 18, 2012"
